case,display_name,description,emissions_policy,removal_target_gtco2_y,removal_target_year,rebound_fraction_of_removal,removal_effectiveness_multiplier,atmospheric_management_floor_ppm,co2_ppm_2046,co2_ppm_2050,co2_ppm_2100,atmosphere_only_ppm_2100,peak_co2_ppm,peak_year,minimum_co2_ppm,minimum_year,cumulative_baseline_emissions_gtco2_2026_2100,cumulative_induced_or_delayed_emissions_gtco2_2026_2100,cumulative_gross_aether_removal_gtco2_2026_2100,cumulative_effective_net_gtco2_2026_2100,reduced_form_ppm_change_2026_2100
baseline_constant_emissions_no_aether,"No AETHER, constant emissions",Current emissions continue with no AETHER-scale durable removal.,constant,0.0,2046,0.0,1.0,,509.9292900778917,522.5469727633058,656.1197293382454,834.2992307692303,656.1197293382454,2100,433.9402564102564,2026,3164.999999999997,0.0,0.0,3164.999999999997,227.58972933824543
aether_constant_emissions_no_rebound,"AETHER, constant emissions",AETHER ramps to 100 GtCO2/year by 2046 while current emissions continue.,constant,100.0,2046,0.0,0.96,350.0,409.11371628154154,388.31487644304235,350.0,280.3203838504828,449.3412949768222,2033,350.0,2059,3164.999999999997,0.0,4501.078131214827,-1156.035005966234,-78.52999999999997
aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound","AETHER ramps to 100 GtCO2/year by 2046, but induced emissions or delayed abatement reach 57.8% of gross removal.",constant,100.0,2046,0.578,0.96,350.0,469.81309300476073,469.13378443586765,473.2797393960962,518.4146153846153,473.2797393960962,2100,433.9402564102564,2026,3164.999999999997,3728.100000000004,6450.0,701.1,44.74973939609623
aether_half_2046_zero_2060,AETHER plus delayed zero,"Emissions halve by 2046, reach zero by 2060, and AETHER ramps to 100 GtCO2/year by 2046.",half_2046_zero_2060,100.0,2046,0.0,0.96,350.0,386.9552932908854,356.9948612485484,350.0,276.82576754274817,446.51336309325217,2032,350.0,2051,801.8000000000001,0.0,2067.8052220485047,-1183.293013166564,-78.52999999999997
aether_net_zero_2050,AETHER plus net-zero 2050,Emissions reach zero by 2050 while AETHER ramps to 100 GtCO2/year by 2046.,net_zero_2050,100.0,2046,0.0,0.96,350.0,372.1830112971146,350.0,350.0,275.4834736680832,445.1497236828316,2031,350.0,2049,527.5,0.0,1792.98219311349,-1193.7629053889505,-78.52999999999997
aether_net_zero_2050_25pct_rebound,"AETHER, net-zero 2050, 25% rebound","Emissions reach zero by 2050, but cheaper removal induces extra emissions equal to 25% of gross removal.",net_zero_2050,100.0,2046,0.25,0.96,350.0,398.4370669732475,371.97958571433907,350.0,278.2160446393859,447.85080071251974,2032,350.0,2054,527.5,598.5735393707008,2394.2941574828033,-1172.4488518127896,-78.52999999999997
