scenario_family,label,delta_gross_100_probability_vs_independent,delta_durable_100_probability_vs_independent,delta_positive_climate_reversal_probability_vs_independent,delta_strong_reversal_probability_vs_independent,delta_median_durable_credit_gtco2_y_vs_independent,delta_median_net_gtco2_y_vs_independent,interpretation
clean_power_abundance_correlated,Clean-power abundance,0.14533333,0.02333333,0.32800000,0.12666667,28.58961018,17.63528622,directional effect of moving correlated assumptions together rather than independently
automation_abundance_correlated,Automation abundance,0.02466667,0.00533333,0.00800000,0.01400000,2.29266919,0.50469896,directional effect of moving correlated assumptions together rather than independently
storage_mrv_failure_correlated,Storage/MRV failure,-0.01000000,-0.00066667,-0.17600000,-0.01666667,-5.17757186,-5.12799332,directional effect of moving correlated assumptions together rather than independently
policy_rebound_failure_correlated,Policy/rebound failure,-0.00266667,-0.00066667,-0.26466667,-0.01733333,10.06084967,-8.42039184,directional effect of moving correlated assumptions together rather than independently
full_abundance_aligned,Full abundance aligned,0.73800000,0.57266667,0.43933333,0.86733333,72.90385467,70.72220705,directional effect of moving correlated assumptions together rather than independently
full_failure_clustered,Full failure clustered,-0.01000000,-0.00066667,-0.56066667,-0.01733333,-24.08247492,-25.88182153,directional effect of moving correlated assumptions together rather than independently
