"target_case","target_display","target_gtco2_y","scenario","scenario_display","co2_ppm","co2_mass_per_m3_air_kg","capture_fraction","air_velocity_m_s","uptime_fraction","pressure_drop_pa","fan_efficiency","air_flow_m3_s","air_volume_km3_y","contactor_face_area_km2","fan_energy_gj_tco2","fan_energy_twh_y","fan_average_power_tw","one_mt_plant_equivalents","ten_contactors_per_one_mt_units","stratos_500kt_equivalents","mammoth_36kt_equivalents","source_keys","note"
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","nasem_liquid_contactor_reference","NASEM liquid-contactor reference","428.53","0.0008306","0.75","1.5","0.9","125","0.6","2262342150","64210700","1508","0.33","3716","0.42","40000","400000","80000","1111111","national_academies_dac_ch5_2018;keith_2018_process_dac","Scaled from NASEM 1.5 m/s, 75% capture, and pressure-drop discussion."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","solid_sorbent_mid_pressure","Solid sorbent mid-pressure case","428.53","0.0008306","0.75","2","0.9","700","0.65","2262342150","64210700","1131","1.73","19208","2.19","40000","400000","80000","1111111","national_academies_dac_ch5_2018;netl_sorbent_dac_2025","Representative pressure-drop case inside NASEM solid-sorbent range."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","aether_low_pressure_modular","AETHER low-pressure modular case","428.53","0.0008306","0.85","3","0.92","100","0.7","1952788940","56656500","651","0.2","2248","0.26","40000","400000","80000","1111111","scenario_assumption;national_academies_dac_ch5_2018","Optimistic AI/robotics-era contactor case; requires advanced low-pressure, high-throughput designs."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","high_pressure_warning","High-pressure packing warning","428.53","0.0008306","0.6","1","0.85","1400","0.6","2994276375","80263375","2994","4.68","52023","5.94","40000","400000","80000","1111111","national_academies_dac_ch5_2018","Warning case at the high end of NASEM pressure-drop range."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","nasem_liquid_contactor_reference","NASEM liquid-contactor reference","428.53","0.0008306","0.75","1.5","0.9","125","0.6","5655855375","160526750","3771","0.33","9290","1.06","100000","1000000","200000","2777778","national_academies_dac_ch5_2018;keith_2018_process_dac","Scaled from NASEM 1.5 m/s, 75% capture, and pressure-drop discussion."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","solid_sorbent_mid_pressure","Solid sorbent mid-pressure case","428.53","0.0008306","0.75","2","0.9","700","0.65","5655855375","160526750","2828","1.73","48021","5.48","100000","1000000","200000","2777778","national_academies_dac_ch5_2018;netl_sorbent_dac_2025","Representative pressure-drop case inside NASEM solid-sorbent range."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","aether_low_pressure_modular","AETHER low-pressure modular case","428.53","0.0008306","0.85","3","0.92","100","0.7","4881972350","141641250","1627","0.2","5621","0.64","100000","1000000","200000","2777778","scenario_assumption;national_academies_dac_ch5_2018","Optimistic AI/robotics-era contactor case; requires advanced low-pressure, high-throughput designs."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","high_pressure_warning","High-pressure packing warning","428.53","0.0008306","0.6","1","0.85","1400","0.6","7485690937","200658437","7486","4.68","130056","14.85","100000","1000000","200000","2777778","national_academies_dac_ch5_2018","Warning case at the high end of NASEM pressure-drop range."
