scenario,removal_gtco2_y,gross_emissions_gtco2_y,net_removal_after_current_emissions_gtco2_y,gross_ppm_drawdown_simple_ppm_y,net_ppm_drawdown_simple_ppm_y,capture_energy_gj_t,split_fraction,split_energy_gj_t,total_energy_gj_t,total_energy_twh_y,average_power_tw,annual_opex_trillion_usd,capex_capacity_trillion_usd,one_mt_y_plants_equivalent,plants_at_configured_size,configured_plant_size_mt_y,carbon_product_gt_y_if_split,oxygen_product_gt_y_if_split,solid_carbon_volume_km3_y_if_split,liquid_o2_volume_km3_y_if_split,supercritical_co2_storage_km3_y_unsplit,co2_gas_stp_volume_km3_y_unsplit,air_mass_processed_gt_y_at_428ppm,air_volume_processed_km3_y_at_428ppm,average_air_throughput_m3_s_at_428ppm,air_flow_per_configured_plant_m3_s_at_428ppm,robot_unit_cost_usd,effective_robot_hour_cost_usd
current_DAC_like_100Gt,100,42.2,57.8,12.820512820512821,7.41025641025641,8.0,0.0,0.0,8.0,222222.22222222222,25.36783358701167,52.5,120.0,100000,100000.0,1,0.0,0.0,0.0,0.0,166.66666666666666,50505.05050505051,153775.20974921194,128146008.12434328,4063483261.1727324,40634.832611727325,100000,5.257142857142857
advanced_capture_storage_100Gt,100,42.2,57.8,12.820512820512821,7.41025641025641,3.0,0.0,0.0,3.0,83333.33333333333,9.512937595129376,9.0,40.0,100000,10000.0,10,0.0,0.0,0.0,0.0,166.66666666666666,50505.05050505051,153775.20974921194,128146008.12434328,4063483261.1727324,406348.32611727325,50000,2.0238095238095237
near_thermo_capture_storage_100Gt,100,42.2,57.8,12.820512820512821,7.41025641025641,1.0,0.0,0.0,1.0,27777.777777777777,3.170979198376459,3.5,15.0,100000,4000.0,25,0.0,0.0,0.0,0.0,166.66666666666666,50505.05050505051,153775.20974921194,128146008.12434328,4063483261.1727324,1015870.8152931831,25000,0.7321428571428571
advanced_capture_25pct_split_100Gt,100,42.2,57.8,12.820512820512821,7.41025641025641,3.0,0.25,2.235369636101296,5.2353696361012965,145426.93433614713,16.60124821188894,10.3,55.0,100000,10000.0,10,6.8181818181818175,18.181818181818183,3.099173553719008,15.934985260138635,125.0,37878.78787878788,153775.20974921194,128146008.12434328,4063483261.1727324,406348.32611727325,50000,2.0238095238095237
advanced_capture_100pct_split_100Gt,100,42.2,57.8,12.820512820512821,7.41025641025641,3.0,1.0,8.941478544405184,11.941478544405184,331707.73734458844,37.86618006216763,13.7,90.0,100000,10000.0,10,27.27272727272727,72.72727272727273,12.396694214876032,63.73994104055454,0.0,0.0,153775.20974921194,128146008.12434328,4063483261.1727324,406348.32611727325,50000,2.0238095238095237
portfolio_10Gt,10,42.2,-32.2,1.2820512820512822,-4.128205128205129,3.5,0.0,0.0,3.5,9722.222222222223,1.1098427194317606,0.95,5.0,10000,2000.0,5,0.0,0.0,0.0,0.0,16.666666666666664,5050.50505050505,15377.520974921194,12814600.812434329,406348326.1172732,203174.1630586366,50000,2.0238095238095237
portfolio_30Gt,30,42.2,-12.200000000000003,3.8461538461538463,-1.5641025641025645,3.2,0.0,0.0,3.2,26666.666666666664,3.0441400304414,2.55,13.5,30000,3000.0,10,0.0,0.0,0.0,0.0,50.0,15151.515151515152,46132.56292476358,38443802.43730299,1219044978.35182,406348.3261172733,40000,1.619047619047619
portfolio_50Gt,50,42.2,7.799999999999997,6.410256410256411,0.9999999999999997,3.0,0.0,0.0,3.0,41666.666666666664,4.756468797564688,3.75,20.0,50000,5000.0,10,0.0,0.0,0.0,0.0,83.33333333333333,25252.525252525254,76887.60487460597,64073004.06217164,2031741630.5863662,406348.32611727325,35000,1.2538461538461538
